names,owner,private,fork,archived,created_at,fork_count,open_issues,stargazers_count,watchers_count,stars_url,contributors_url,commits_url,downloaded_at
irods_schema_messaging,irods,FALSE,FALSE,FALSE,2014-12-17T13:18:34Z,0,0,0,0,https://api.github.com/repos/irods/irods_schema_messaging/stargazers,https://api.github.com/repos/irods/irods_schema_messaging/contributors,https://api.github.com/repos/irods/irods_schema_messaging/commits,"05 June, 2023"
irods_schema_configuration,irods,FALSE,FALSE,TRUE,2014-12-17T13:27:14Z,1,0,0,0,https://api.github.com/repos/irods/irods_schema_configuration/stargazers,https://api.github.com/repos/irods/irods_schema_configuration/contributors,https://api.github.com/repos/irods/irods_schema_configuration/commits,"05 June, 2023"
irods_specifications,irods,FALSE,FALSE,FALSE,2015-02-11T17:41:36Z,0,0,0,0,https://api.github.com/repos/irods/irods_specifications/stargazers,https://api.github.com/repos/irods/irods_specifications/contributors,https://api.github.com/repos/irods/irods_specifications/commits,"05 June, 2023"
irods_resource_plugin_rados,irods,FALSE,FALSE,FALSE,2015-03-05T14:42:46Z,6,9,7,7,https://api.github.com/repos/irods/irods_resource_plugin_rados/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_rados/contributors,https://api.github.com/repos/irods/irods_resource_plugin_rados/commits,"05 June, 2023"
irods_resource_plugin_msso,irods,FALSE,FALSE,FALSE,2015-03-16T21:00:09Z,1,3,0,0,https://api.github.com/repos/irods/irods_resource_plugin_msso/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_msso/contributors,https://api.github.com/repos/irods/irods_resource_plugin_msso/commits,"05 June, 2023"
irods_resource_plugin_weighted_passthru,irods,FALSE,FALSE,FALSE,2015-03-31T01:38:08Z,0,1,0,0,https://api.github.com/repos/irods/irods_resource_plugin_weighted_passthru/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_weighted_passthru/contributors,https://api.github.com/repos/irods/irods_resource_plugin_weighted_passthru/commits,"05 June, 2023"
additional_legacy_icommands,irods,FALSE,FALSE,FALSE,2015-04-01T17:49:43Z,0,1,0,0,https://api.github.com/repos/irods/additional_legacy_icommands/stargazers,https://api.github.com/repos/irods/additional_legacy_icommands/contributors,https://api.github.com/repos/irods/additional_legacy_icommands/commits,"05 June, 2023"
libs3,irods,FALSE,TRUE,FALSE,2015-04-28T18:58:13Z,6,4,1,1,https://api.github.com/repos/irods/libs3/stargazers,https://api.github.com/repos/irods/libs3/contributors,https://api.github.com/repos/irods/libs3/commits,"05 June, 2023"
irods_testing_zone_bundle,irods,FALSE,FALSE,FALSE,2015-06-04T21:01:45Z,1,2,1,1,https://api.github.com/repos/irods/irods_testing_zone_bundle/stargazers,https://api.github.com/repos/irods/irods_testing_zone_bundle/contributors,https://api.github.com/repos/irods/irods_testing_zone_bundle/commits,"05 June, 2023"
deprecated_irods_testing_jargon,irods,FALSE,FALSE,FALSE,2015-06-04T22:30:58Z,0,0,0,0,https://api.github.com/repos/irods/deprecated_irods_testing_jargon/stargazers,https://api.github.com/repos/irods/deprecated_irods_testing_jargon/contributors,https://api.github.com/repos/irods/deprecated_irods_testing_jargon/commits,"05 June, 2023"
